in s,C1 in V
8.88997220E-02,-2.88086E+00
8.88999052E-02,-2.88086E+00
8.89000884E-02,-2.88086E+00
8.89002716E-02,-3.07617E+00
8.89004548E-02,-2.88086E+00
8.89006380E-02,-3.17383E+00
8.89008212E-02,-3.07617E+00
8.89010044E-02,-2.68555E+00
8.89011876E-02,-3.07617E+00
8.89013708E-02,-2.97852E+00
8.89015540E-02,-2.97852E+00
8.89017372E-02,-3.75977E+00
8.89019204E-02,-2.88086E+00
8.89021036E-02,-3.27148E+00
8.89022868E-02,-3.27148E+00
8.89024700E-02,-3.07617E+00
8.89026532E-02,-2.97852E+00
8.89028364E-02,-2.97852E+00
8.89030196E-02,-3.07617E+00
8.89032028E-02,-3.07617E+00
8.89033860E-02,-2.88086E+00
8.89035692E-02,-3.07617E+00
8.89037524E-02,-2.97852E+00
8.89039356E-02,-3.36914E+00
8.89041188E-02,-3.07617E+00
8.89043020E-02,-2.78320E+00
8.89044852E-02,-3.07617E+00
8.89046684E-02,-3.17383E+00
8.89048516E-02,-3.07617E+00
8.89050348E-02,-2.29492E+00
8.89052180E-02,-2.97852E+00
8.89054012E-02,-3.36914E+00
8.89055844E-02,-2.88086E+00
8.89057676E-02,-3.36914E+00
8.89059508E-02,-2.39258E+00
8.89061340E-02,-3.17383E+00
8.89063172E-02,-2.97852E+00
8.89065004E-02,-3.27148E+00
8.89066836E-02,-2.58789E+00
8.89068668E-02,-3.17383E+00
8.89070500E-02,-3.36914E+00
8.89072332E-02,-2.88086E+00
8.89074164E-02,-2.88086E+00
8.89075996E-02,-2.68555E+00
8.89077828E-02,-3.07617E+00
8.89079660E-02,-3.17383E+00
8.89081492E-02,-2.88086E+00
8.89083324E-02,-2.68555E+00
8.89085156E-02,-2.97852E+00
8.89086988E-02,-3.46680E+00
8.89088820E-02,-3.36914E+00
8.89090652E-02,-3.17383E+00
8.89092484E-02,-2.88086E+00
8.89094316E-02,-3.46680E+00
8.89096148E-02,-3.07617E+00
8.89097980E-02,-2.88086E+00
8.89099812E-02,-2.88086E+00
8.89101644E-02,-2.29492E+00
8.89103476E-02,-3.17383E+00
8.89105308E-02,-2.97852E+00
8.89107140E-02,-3.17383E+00
8.89108972E-02,-3.46680E+00
8.89110804E-02,-3.07617E+00
8.89112636E-02,-2.88086E+00
8.89114468E-02,-2.88086E+00
8.89116300E-02,-3.46680E+00
8.89118132E-02,-3.27148E+00
8.89119964E-02,-2.88086E+00
8.89121796E-02,-2.39258E+00
8.89123628E-02,-3.07617E+00
8.89125460E-02,-3.17383E+00
8.89127292E-02,-3.36914E+00
8.89129124E-02,-3.17383E+00
8.89130956E-02,-3.17383E+00
8.89132788E-02,-3.27148E+00
8.89134620E-02,-3.17383E+00
8.89136452E-02,-2.97852E+00
8.89138284E-02,-3.17383E+00
8.89140116E-02,-2.78320E+00
8.89141948E-02,-3.17383E+00
8.89143780E-02,-2.68555E+00
8.89145612E-02,-3.27148E+00
8.89147444E-02,-2.88086E+00
8.89149276E-02,-3.07617E+00
8.89151108E-02,-3.17383E+00
8.89152940E-02,-2.78320E+00
8.89154772E-02,-3.17383E+00
8.89156604E-02,-3.07617E+00
8.89158436E-02,-3.07617E+00
8.89160268E-02,-3.36914E+00
8.89162100E-02,-3.27148E+00
8.89163932E-02,-3.07617E+00
8.89165764E-02,-3.36914E+00
8.89167596E-02,-2.88086E+00
8.89169428E-02,-3.46680E+00
8.89171260E-02,-2.88086E+00
8.89173092E-02,-2.88086E+00
8.89174924E-02,-3.36914E+00
8.89176756E-02,-2.97852E+00
8.89178588E-02,-2.97852E+00
8.89180420E-02,-3.07617E+00
8.89182252E-02,-3.17383E+00
8.89184084E-02,-3.17383E+00
8.89185916E-02,-3.17383E+00
8.89187748E-02,-2.68555E+00
8.89189580E-02,-3.27148E+00
8.89191412E-02,-2.88086E+00
8.89193244E-02,-2.97852E+00
8.89195076E-02,-3.36914E+00
8.89196908E-02,-3.17383E+00
8.89198740E-02,-3.17383E+00
8.89200572E-02,-2.88086E+00
8.89202404E-02,-3.17383E+00
8.89204236E-02,-3.07617E+00
8.89206068E-02,-3.17383E+00
8.89207900E-02,-3.27148E+00
8.89209732E-02,-3.27148E+00
8.89211564E-02,-3.07617E+00
8.89213396E-02,-3.17383E+00
8.89215228E-02,-3.07617E+00
8.89217060E-02,-3.17383E+00
8.89218892E-02,-3.27148E+00
8.89220724E-02,-3.17383E+00
8.89222556E-02,-3.17383E+00
8.89224388E-02,-2.78320E+00
8.89226220E-02,-3.27148E+00
8.89228052E-02,-3.56445E+00
8.89229884E-02,-3.36914E+00
8.89231716E-02,-3.07617E+00
8.89233548E-02,-3.46680E+00
8.89235380E-02,-3.07617E+00
8.89237212E-02,-3.36914E+00
8.89239044E-02,-2.78320E+00
8.89240876E-02,-3.36914E+00
8.89242708E-02,-3.36914E+00
8.89244540E-02,-3.27148E+00
8.89246372E-02,-3.46680E+00
8.89248204E-02,-3.07617E+00
8.89250036E-02,-3.17383E+00
8.89251868E-02,-2.78320E+00
